Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,102,hr,5237,Yea
passage,102,hres,425,Yea
passage-suspension,102,hr,4276,Yea
passage,102,hr,5334,Yea
passage,102,hres,393,Yea
passage,102,hr,3724,Yea
passage-suspension,102,s,1699,Yea
passage-suspension,102,hr,5475,Nay
passage,102,hres,463,Yea
passage-suspension,102,hr,3490,Yea
passage,102,hres,303,Yea
passage-suspension,102,hr,2152,Yea
passage,102,hres,462,Yea
passage-suspension,102,hjres,414,Yea
passage-suspension,102,hconres,320,Yea
passage,102,hres,474,Yea
passage,102,hres,432,Yea
passage,102,hres,396,Yea
passage,102,hr,5191,Yea
passage-suspension,102,hres,433,Yea
passage,102,hres,430,Yea
passage,102,hr,3337,Yea
passage-suspension,102,hconres,239,Yea
passage-suspension,102,hr,4113,Yea
passage,102,hr,4990,Yea
passage,102,hconres,287,Yea
passage-suspension,102,hr,3337,Yea
passage,102,hres,513,Yea
passage-suspension,102,hr,5419,Yea
passage-suspension,102,hconres,268,Yea
passage,102,hres,602,Yea
passage,102,hres,603,Not Voting
passage-suspension,102,hr,3281,Yea
passage,102,hjres,502,Yea
passage-suspension,102,hr,3562,Yea
passage,102,hr,3247,Yea
passage-suspension,102,s,2681,Yea
passage-suspension,102,hr,4095,Not Voting
passage,102,hr,776,Yea
passage-suspension,102,hr,1989,Yea
passage-suspension,102,hr,6179,Yea
passage,102,hr,5055,Yea
passage,102,hres,587,Yea
passage,102,hjres,517,Yea
passage-suspension,102,s,2481,Yea
passage,102,hres,501,Yea
passage,102,s,3144,Yea
passage,102,hr,5679,Nay
passage,102,hres,505,Yea
passage,102,s,1306,Yea
passage-suspension,102,hr,2164,Not Voting
passage,102,hr,5006,Nay
passage,102,hr,5677,Yea
passage,102,hr,5132,Yea
passage,102,hres,479,Yea
passage,102,hr,5679,Yea
passage-suspension,102,hr,450,Yea
passage-suspension,102,hr,5645,Nay
passage,102,hr,5260,Yea
passage,102,hr,4547,Yea
passage,102,hres,466,Yea
passage-suspension,102,hr,3209,Yea
passage,102,hr,4484,Yea
passage,102,hres,412,Yea
passage,102,hres,429,Yea
passage,102,hres,560,Yea
passage,102,hres,442,Yea
passage,102,hr,5620,Yea
passage,102,hr,4312,Yea
passage,102,hr,4111,Yea
passage-suspension,102,hr,2321,Yea
passage,102,hr,5132,Yea
passage-suspension,102,hr,5653,Nay
passage,102,hr,3090,Yea
passage,102,hres,379,Yea
passage,102,hr,5679,Yea
passage,102,hr,3603,Yea
passage,102,hr,5466,Not Voting
passage-suspension,102,hr,5021,Yea
passage,102,hr,2507,Yea
passage,102,s,323,Yea
passage,102,hres,258,Yea
passage-suspension,102,s,606,Yea
passage,102,hres,413,Yea
passage,102,hres,485,Yea
passage,102,s,12,Yea
passage,102,hres,427,Yea
passage,102,hr,5678,Not Voting
passage-suspension,102,hr,5534,Yea
passage,102,hres,374,Yea
passage-suspension,102,hr,543,Yea
passage,102,hr,5623,Yea
passage,102,s,5,Yea
passage,102,hres,571,Yea
passage,102,hres,532,Yea
passage,102,s,250,Yea
passage,102,hres,423,Yea
passage,102,hr,5373,Nay
passage,102,hr,5488,Yea
passage,102,hres,340,Not Voting
passage,102,hr,5334,Yea
passage,102,hr,11,Yea
passage-suspension,102,s,1704,Yea
passage,102,hres,601,Yea
passage-suspension,102,s,1528,Yea
passage,102,hjres,553,Yea
passage,102,hres,570,Yea
passage-suspension,102,hr,5429,Yea
passage-suspension,102,hr,5673,Not Voting
passage,102,hr,5100,Yea
passage,102,s,1150,Yea
passage-suspension,102,hr,5716,Yea
passage,102,hres,604,Yea
passage-suspension,102,hr,2548,Yea
passage,102,hr,5368,Yea
passage-suspension,102,s,3100,Yea
passage,102,hr,5678,Yea
passage,102,hr,5739,Yea
passage-suspension,102,hr,5323,Nay
passage-suspension,102,hr,5938,Yea
passage,102,hr,5318,Yea
passage,102,hr,6056,Nay
passage,102,hres,518,Yea
passage,102,hr,5487,Yea
passage-suspension,102,hr,11,Not Voting
passage,102,s,1696,Yea
passage,102,hr,5427,Yea
passage,102,s,429,Yea
passage,102,hres,579,Yea
passage,102,hr,5260,Yea
passage,102,hr,2194,Yea
passage-suspension,102,hjres,512,Nay
passage,102,s,2532,Yea
passage,102,hres,574,Yea
passage,102,hconres,192,Yea
passage,102,hres,591,Yea
passage,102,hres,543,Yea
passage,102,hres,471,Yea
passage-suspension,102,hr,3247,Yea
passage,102,hjres,456,Yea
passage,102,hr,5487,Nay
passage-suspension,102,hr,5333,Yea
passage,102,hr,4691,Not Voting
passage,102,hres,386,Yea
passage,102,hr,3590,Not Voting
passage-suspension,102,hr,5058,Yea
passage,102,hres,440,Yea
passage,102,hres,450,Yea
passage,102,hr,3553,Not Voting
passage,102,hres,551,Not Voting
passage,102,hr,4210,Yea
passage,102,hconres,246,Yea
passage,102,hres,444,Yea
passage,102,hres,402,Yea
passage,102,hr,4323,Not Voting
passage-suspension,102,s,1306,Not Voting
passage,102,hr,5677,Yea
passage,102,hres,456,Yea
passage,102,hres,443,Yea
passage,102,hr,4850,Yea
passage,102,hr,4210,Yea
passage,102,hr,1236,Yea
passage,102,hjres,222,Not Voting
passage,102,hr,2686,Yea
passage,102,hres,111,Yea
passage-suspension,102,hr,2454,Yea
passage,102,hres,280,Yea
passage,102,hr,2699,Yea
passage-suspension,102,hres,95,Yea
passage,102,hres,166,Yea
passage-suspension,102,hr,555,Yea
passage,102,hres,252,Yea
passage-suspension,102,sconres,2,Yea
passage-suspension,102,hr,180,Not Voting
passage,102,hres,88,Yea
passage-suspension,102,hr,232,Yea
passage,102,hr,1,Yea
passage,102,hres,277,Nay
passage,102,s,248,Not Voting
passage,102,hr,2,Yea
passage,102,hres,266,Yea
passage,102,hr,2622,Yea
passage,102,hres,241,Yea
passage-suspension,102,hr,154,Not Voting
passage-suspension,102,hr,598,Yea
passage-suspension,102,hr,707,Yea
passage,102,hr,2506,Yea
passage-suspension,102,hconres,41,Yea
passage-suspension,102,hr,991,Yea
passage-suspension,102,hr,556,Yea
passage,102,hconres,191,Yea
passage-suspension,102,hjres,346,Yea
passage-suspension,102,hr,1107,Yea
passage,102,hres,294,Yea
passage,102,hres,230,Yea
passage,102,hres,279,Yea
passage,102,hr,3750,Yea
passage,102,s,1722,Yea
passage,102,hr,1426,Yea
passage-suspension,102,hres,287,Yea
passage,102,hr,2900,Yea
passage-suspension,102,hr,2893,Yea
passage,102,hr,1989,Yea
passage,102,hr,2707,Yea
passage,102,hjres,313,Yea
passage-suspension,102,hr,3033,Yea
passage,102,hr,3201,Yea
passage,102,hres,206,Yea
passage,102,hr,1455,Yea
passage,102,hr,2698,Yea
passage-suspension,102,hr,3029,Yea
passage,102,hr,2942,Yea
passage,102,hres,283,Yea
passage,102,hr,2707,Yea
passage-suspension,102,s,483,Yea
passage-suspension,102,hconres,197,Yea
passage-suspension,102,hr,2042,Yea
passage,102,hres,101,Yea
passage,102,hconres,121,Not Voting
passage,102,hr,2707,Yea
passage,102,s,419,Yea
passage,102,s,419,Yea
passage,102,s,725,Yea
passage,102,hres,275,Yea
passage,102,hr,2251,Not Voting
passage,102,hres,158,Yea
passage-suspension,102,hr,1642,Yea
passage,102,hres,247,Yea
passage,102,hr,1281,Yea
passage-suspension,102,hr,2032,Yea
passage,102,hr,1281,Yea
passage,102,hres,123,Yea
passage,102,s,1745,Yea
passage-suspension,102,hr,26,Yea
passage,102,hr,6,Yea
passage-suspension,102,hr,4,Yea
passage-suspension,102,hr,3,Yea
passage-suspension,102,hconres,44,Not Voting
passage-suspension,102,sjres,55,Yea
passage,102,hres,232,Yea
passage,102,hconres,121,Yea
passage,102,hr,1988,Yea
passage,102,hr,2508,Yea
passage,102,hr,3575,Yea
passage-suspension,102,hr,479,Yea
passage,102,hr,2369,Yea
passage-suspension,102,hr,586,Yea
passage-suspension,102,hconres,40,Yea
passage-suspension,102,hconres,48,Yea
passage-suspension,102,hres,116,Yea
passage,102,hres,144,Yea
passage,102,hres,176,Yea
passage,102,hr,2251,Yea
passage,102,hr,2950,Yea
passage,102,hr,2427,Yea
passage,102,hr,2519,Yea
passage-suspension,102,hconres,199,Yea
passage,102,hres,298,Yea
passage,102,s,1722,Yea
passage,102,hres,301,Yea
passage,102,hjres,77,Nay
passage,102,hres,195,Yea
passage,102,hconres,32,Yea
passage,102,hres,226,Yea
passage,102,hres,299,Yea
passage,102,hr,2519,Yea
passage-suspension,102,hr,500,Yea
passage,102,hr,3039,Yea
passage,102,hres,286,Yea
passage,102,hres,309,Nay
passage-suspension,102,hr,3909,Yea
passage,102,hr,14,Yea
passage-suspension,102,hres,282,Yea
passage,102,hr,2967,Not Voting
passage,102,hjres,263,Yea
passage,102,hjres,308,Nay
passage,102,hr,2100,Yea
passage,102,hr,2699,Yea
passage,102,hr,3595,Yea
passage-suspension,102,hconres,226,Yea
passage,102,hr,2212,Yea
passage,102,hres,236,Yea
passage,102,hr,2212,Yea
passage,102,hr,2521,Yea
passage,102,hr,355,Yea
passage,102,hr,429,Yea
passage-suspension,102,s,534,Yea
passage-suspension,102,hr,3298,Nay
passage,102,hres,177,Yea
passage-suspension,102,s,565,Yea
passage,102,hres,159,Yea
passage-suspension,102,hconres,45,Yea
passage,102,hres,157,Yea
passage,102,hres,146,Yea
passage-suspension,102,hr,3350,Yea
passage,102,hr,2621,Yea
passage-suspension,102,hr,1047,Yea
passage,102,hr,1282,Yea
passage,102,hjres,360,Yea
passage,102,hres,156,Yea
passage,102,hres,179,Yea
passage,102,hr,2519,Yea
passage,102,hres,92,Yea
passage,102,hres,270,Yea
passage,102,hres,105,Yea
passage,102,hr,2100,Yea
passage,102,hr,1282,Yea
passage,102,hr,2426,Yea
passage,103,hres,226,Yea
passage,103,hres,132,Yea
passage-suspension,103,hr,1109,Yea
passage-suspension,103,hr,2684,Yea
passage-suspension,103,hres,188,Yea
passage,103,hr,1845,Yea
passage-suspension,103,hr,904,Yea
passage-suspension,103,hr,890,Yea
passage,103,hr,1335,Yea
passage-suspension,103,s,326,Yea
passage-suspension,103,sconres,50,Yea
passage,103,hr,1025,Yea
passage,103,hres,319,Yea
passage,103,hjres,283,Yea
passage,103,hres,163,Yea
passage-suspension,103,hr,20,Yea
passage,103,hr,2264,Yea
passage-suspension,103,hr,868,Yea
passage,103,hres,265,Not Voting
