Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,115,hr,244,Yea
passage,115,hjres,41,Nay
passage-suspension,115,hr,654,Yea
passage,115,hres,538,Nay
passage,115,hr,4015,Yea
passage-suspension,115,hr,3823,Yea
passage-suspension,115,hr,3243,Yea
passage-suspension,115,hr,699,Yea
passage-suspension,115,hr,1698,Yea
passage-suspension,115,hr,3903,Yea
passage,115,hres,553,Not Voting
passage,115,hr,1301,Yea
passage,115,hres,454,Nay
passage,115,hres,99,Not Voting
passage,115,hr,5,Nay
passage-suspension,115,hr,2061,Yea
passage,115,hjres,38,Nay
passage-suspension,115,hr,974,Yea
passage-suspension,115,hr,337,Yea
passage-suspension,115,hr,2521,Yea
passage,115,hres,11,Yea
passage,115,hres,180,Nay
passage-suspension,115,hr,452,Yea
passage,115,hr,2201,Nay
passage-suspension,115,hr,2052,Yea
passage-suspension,115,hr,1842,Yea
passage-suspension,115,hr,876,Yea
passage-suspension,115,hr,2658,Yea
passage,115,hr,3017,Yea
passage,115,hr,2396,Yea
passage-suspension,115,hr,3911,Yea
passage,115,hr,1973,Yea
passage,115,hres,352,Yea
passage,115,hr,244,Yea
passage-suspension,115,hr,3071,Yea
passage,115,hres,599,Yea
passage-suspension,115,hr,467,Yea
passage,115,hr,4324,Yea
passage,115,hjres,123,Yea
passage,115,hr,601,Yea
passage-suspension,115,hres,187,Yea
passage-suspension,115,hr,1312,Yea
passage-suspension,115,hr,4254,Yea
passage-suspension,115,hconres,90,Yea
passage,115,hjres,99,Yea
passage,115,hr,1,Nay
passage-suspension,115,hres,92,Yea
passage-suspension,115,hr,3731,Yea
passage-suspension,115,s,496,Yea
passage,115,hres,504,Nay
passage,115,hres,600,Yea
passage,115,hr,115,Yea
passage,115,hres,375,Nay
passage-suspension,115,hr,3115,Yea
passage-suspension,115,hr,1177,Yea
passage,115,hr,3922,Yea
passage,115,hr,2874,Yea
passage,115,hr,2910,Nay
passage-suspension,115,hr,1066,Yea
passage,115,hr,1,Nay
passage-suspension,115,hr,910,Yea
passage,115,hres,668,Nay
passage-suspension,115,hr,657,Yea
passage,115,hr,10,Nay
passage-suspension,115,hr,2672,Yea
passage-suspension,115,hr,2825,Yea
passage,115,hr,2810,Yea
passage,115,hr,2192,Yea
passage-suspension,115,hr,2768,Yea
passage,115,hr,3219,Nay
passage-suspension,115,hr,3562,Yea
passage-suspension,115,hres,311,Yea
passage-suspension,115,hr,39,Yea
passage-suspension,115,hr,497,Yea
passage,115,hres,548,Not Voting
passage,115,hr,36,Not Voting
passage-suspension,115,s,1532,Yea
passage-suspension,115,hjres,92,Yea
passage,115,sconres,3,Nay
passage-suspension,115,hr,538,Yea
passage-suspension,115,hr,1397,Yea
passage,115,hr,3003,Nay
passage,115,hres,123,Nay
passage-suspension,115,hr,423,Yea
passage-suspension,115,s,504,Yea
passage-suspension,115,hr,2866,Yea
passage-suspension,115,hres,397,Yea
passage-suspension,115,hr,582,Yea
passage,115,hr,1367,Yea
passage,115,hjres,67,Nay
passage,115,hr,428,Nay
passage-suspension,115,hr,374,Yea
passage-suspension,115,hr,1353,Yea
